title,subtitle,type,event_start,event_end,description
The Time of Troubles,Failed State,war,1600,1613,"The central government collapsed, and the land was broken up among warlords. "
Fall of the Ming Dynasty,Failed State,war,1618,1644,"The central government collapsed, and the land was broken up among warlords. "
Mexican Revolution,Failed State,war,1910,1920,"The central government collapsed, and the land was broken up among warlords. "
Russian Civil War,Failed State,war,1918,1921,"The central government collapsed, and the land was broken up among warlords. "
Greco-Turkish War,Failed State,war,1919,1922,"The central government collapsed, and the land was broken up among warlords. "
Chinese Civil War,Failed State,war,1927,1949,"The central government collapsed, and the land was broken up among warlords. "
Somalian Chaos ,Failed State,war,1980,2020,"The central government collapsed, and the land was broken up among warlords. "
Thirty Years War,Religious Conflict,war,1618,1648,Followers of rival religions fight for cultural dominance.
Taiping Rebellion,Religious Conflict,war,1850,1864,Followers of rival religions fight for cultural dominance.
Cromwell’s Invasion of Ireland,Religious Conflict,war,1649,1653,Followers of rival religions fight for cultural dominance.
Panthay Rebellion,Religious Conflict,war,1856,1873,Followers of rival religions fight for cultural dominance.
Hui Rebellion,Religious Conflict,war,1862,1877,Followers of rival religions fight for cultural dominance.
Mahdi Revolt,Religious Conflict,war,1881,1898,Followers of rival religions fight for cultural dominance.
Partition of India,Religious Conflict,war,1947,1947,Followers of rival religions fight for cultural dominance.
First Sudanese Civil War,Idedological Civil War,war,1955,972,Factions fought inside a single nation over which type of government to have
Second Sudanese Civil War,Idedological Civil War,war,1983,2005,Factions fought inside a single nation over which type of government to have
American Civil War,Idedological Civil War,war,1861,1865,Factions fought inside a single nation over which type of government to have
Mexican Revolution,Idedological Civil War,war,1910,1920,Factions fought inside a single nation over which type of government to have
Russian Civil War,Idedological Civil War,war,1917,1922,Factions fought inside a single nation over which type of government to have
Chinese Civil War,Idedological Civil War,war,1927,1950,Factions fought inside a single nation over which type of government to have
Spanish Civil War,Idedological Civil War,war,1936,1939,Factions fought inside a single nation over which type of government to have
Korean War,Idedological Civil War,war,1950,1953,Factions fought inside a single nation over which type of government to have
Vietnam War,Idedological Civil War,war,1955,1975,Factions fought inside a single nation over which type of government to have
Angolan Civil War,Idedological Civil War,war,1975,2002,Factions fought inside a single nation over which type of government to have
Mozambican Civil War,Idedological Civil War,war,1977,1992,Factions fought inside a single nation over which type of government to have
Soviet Afghan War,Idedological Civil War,war,1979,1989,Factions fought inside a single nation over which type of government to have
First World War,Ethnic Cleansing,war,1914,1918,The perpetrators were trying to get rid of a hated ethnicity in one burst of activity. 
Second World war,Ethnic Cleansing,war,1939,1945,The perpetrators were trying to get rid of a hated ethnicity in one burst of activity. 
Partition of India,Ethnic Cleansing,war,1947,1947,The perpetrators were trying to get rid of a hated ethnicity in one burst of activity. 
Bengali Genocide,Ethnic Cleansing,war,1971,1971,The perpetrators were trying to get rid of a hated ethnicity in one burst of activity. 
Dzungar-Qing War,Ethnic Cleansing,war,1687,1758,The perpetrators were trying to get rid of a hated ethnicity in one burst of activity. 
Rwandan Genocide,Ethnic Cleansing,war,1994,1994,The perpetrators were trying to get rid of a hated ethnicity in one burst of activity. 
Haitian Slave Revolt,Racism,war,1791,1804,"The main perpetrators specifically targeted their victims as a physically distinct, genetically inferior race"
Famines of British India,Racism,war,1876,1878,"The main perpetrators specifically targeted their victims as a physically distinct, genetically inferior race"
Seven Years War,Hegemonial War,war,1756,1763,Similar countries fought over who's Number 1.
Great Northern War,Hegemonial War,war,1700,1721,Similar countries fought over who's Number 1.
War of the Austrian Sucession,Hegemonial War,war,1740,1748,Similar countries fought over who's Number 1.
Crimean War,Hegemonial War,war,1853,1856,Similar countries fought over who's Number 1.
Paragruayan War,Hegemonial War,war,1864,1870,Similar countries fought over who's Number 1.
Franco Prussian War,Hegemonial War,war,1870,1870,Similar countries fought over who's Number 1.
Iran Iraq War,Hegemonial War,war,1980,1988,Similar countries fought over who's Number 1.
Second Congo War,Hegemonial War,war,1998,2003,Similar countries fought over who's Number 1.
