ID,paintCount,drawCount,photoCount,sculptCount,totalCount
1,36,301,0,3,340
2,40,495,0,1,536
3,101,314,0,0,415
4,143,375,0,0,518
5,125,497,0,2,624
6,65,393,0,1,459
7,26,720,0,1,747
8,70,245,0,2,417
9,76,419,0,1,496
10,134,767,0,0,901
11,185,1014,0,9,1208
12,173,924,0,2,1099
13,286,1161,17,0,1464
14,291,954,2763,19,4027
15,510,2754,4206,25,7495
16,560,3718,8415,52,12745
17,494,2581,1955,175,5205
18,477,2834,2898,158,6367
19,491,1995,2808,149,5443
20,348,933,3368,135,4784
21,449,978,1353,204,2984
22,94,191,374,62,721
